date,description,reference,credit,debit,balance,utr
2026-08-25,RAZORPAY SETTLEMENT setl_01024,UTIBCN5047709743,3882448,0,173274655,UTIBCN5047709743
2026-08-26,RAZORPAY SETTLEMENT setl_01025,UTIBCN8519962896,987072,0,174261727,UTIBCN8519962896
2026-08-27,RAZORPAY SETTLEMENT setl_01026,AXISCN6555540744,2835075,0,177096802,AXISCN6555540744
2026-08-28,RAZORPAY SETTLEMENT setl_01027,AXISCN4919706735,3765107,0,180861909,AXISCN4919706735
2026-08-29,RAZORPAY SETTLEMENT setl_01028,UTIBCN3615507143,2493274,0,183355183,UTIBCN3615507143
2026-08-30,RAZORPAY SETTLEMENT setl_01029,HDFCCN9592390865,3111413,0,186466596,HDFCCN9592390865
2026-08-07,RAZORPAY SETTLEMENT setl_01030,AXISCN8760038701,4050812,0,190517408,AXISCN8760038701
2026-08-07,RAZORPAY SETTLEMENT setl_01031,UTIBCN5067116918,2021713,0,192539121,UTIBCN5067116918
2026-08-11,RAZORPAY SETTLEMENT setl_01032,AXISCN1540137296,4029392,0,196568513,AXISCN1540137296
2026-08-10,RAZORPAY SETTLEMENT setl_01033,ICICCN7900268326,1401316,0,197969829,ICICCN7900268326
2026-08-05,RAZORPAY SETTLEMENT setl_01034,ICICCN6898796145,1696376,0,199666205,ICICCN6898796145
2026-08-06,RAZORPAY SETTLEMENT setl_01035,,3746780,0,203412985,
2026-08-07,RAZORPAY SETTLEMENT setl_01036,,2817957,0,206230942,
2026-08-08,RAZORPAY SETTLEMENT setl_01037,,531034,0,206761976,
2026-08-09,RAZORPAY SETTLEMENT setl_01038,ICICCN8168204967,1998230,0,208760206,ICICCN8168204967
2026-08-10,RAZORPAY SETTLEMENT setl_01039,HDFCCN7769777475,4465490,0,213225696,HDFCCN7769777475
2026-08-11,RAZORPAY SETTLEMENT setl_01040,SBINCN1817804383,3922770,0,217148466,SBINCN1817804383
2026-08-12,RAZORPAY SETTLEMENT setl_01041,ICICCN7114223633,3579404,0,220727870,ICICCN7114223633
2026-08-13,RAZORPAY SETTLEMENT setl_01042,AXISCN5555296751,492517,0,221220387,AXISCN5555296751
2026-08-14,RAZORPAY SETTLEMENT setl_01043,AXISCN2067970820,2827925,0,224048312,AXISCN2067970820
2026-08-15,RAZORPAY SETTLEMENT setl_01044,SBINCN5897045684,4441342,0,228489654,SBINCN5897045684
2026-08-16,RAZORPAY SETTLEMENT setl_01045,SBINCN4965395580,2330283,0,230819937,SBINCN4965395580
2026-08-17,RAZORPAY SETTLEMENT setl_01046,AXISCN9807209816,4556335,0,235376272,AXISCN9807209816
2026-08-18,RAZORPAY SETTLEMENT setl_01047,AXISCN4645120421,169697,0,235545969,AXISCN4645120421
2026-08-19,RAZORPAY SETTLEMENT setl_01048,SBINCN3067418686,3377611,0,238923580,SBINCN3067418686
2026-08-20,RAZORPAY SETTLEMENT setl_01049,HDFCCN2627677155,529082,0,239452662,HDFCCN2627677155
